Country,Year,ISO3166_alpha3,ISO3166_numeric,Region,SubRegion,OPEC,EU,OECD,CIS,Var,Value
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,oilcons_mt,2.288
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,oilprod_crudecond_kbd,785.8449315
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,oilprod_kbd,802.5873973
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,oilprod_mt,36.79765995
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,oilprod_ngl_kbd,16.74246575
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,pop,14.098936
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,refcap_kbd,57.73630137
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,ren_power_ej,0.001188
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,renewables_ej,0.001188
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,solar_ej,0
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,tes_ej,0.140713345
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,tes_gj_pc,9.980422991
Algeria,1971,DZA,12,Africa,Northern Africa,1,0,0,0,wind_ej,0
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,biogeo_ej,0
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,co2_combust_mtco2,9.98648048
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,co2_combust_pc,0.011141017
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,co2_combust_per_ej,172.9754022
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,coalcons_ej,0.00083736
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,gascons_bcfd,0.123795501
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,gascons_bcm,1.2830125
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,gascons_ej,0.046188451
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,gasprod_bcfd,0.31417868
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,gasprod_bcm,3.2561375
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,gasprod_ej,0.117220953
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_ej,0.001782
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_twh,0.495
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_twh_net,0.49005
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,liqcons_kbd,53.54349727
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,nuclear_ej,0
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,nuclear_twh,0
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,nuclear_twh_net,0
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,oilcons_ej,0.108437091
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,oilcons_kbd,53.54349727
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,oilcons_mt,2.514
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,oilprod_crudecond_kbd,1062.680328
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,oilprod_kbd,1081.04918
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,oilprod_mt,49.72648111
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,oilprod_ngl_kbd,18.36885246
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,pop,14.427072
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,refcap_kbd,116.2758904
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,ren_power_ej,0.001782
